id,name,note,pid,pname,basicDifficulty,isLeaf,d0,h0,ivl,cost,recall
01,eSkill,耳朵基础感知精度,,,,false,,,,,
0101,single,单音,01,eSkill,,false,,,,,
0102,interval,音程,01,eSkill,,false,,,,,
0103,chord,和弦,01,eSkill,,false,,,,,
0104,scale,音阶,01,eSkill,,false,,,,,
0105,tonality,调性,01,eSkill,,false,,,,,
0106,melody,旋律,01,eSkill,,false,,,,,
0107,phrase,乐句,01,eSkill,,false,,,,,
0108,harmonicFlow,和声进行,01,eSkill,,false,,,,,
010201,i_unison,一度,0102,interval,1,true,2,3.60316245279251,1,20.5459,0.830557
010202,i_min2,小二度,0102,interval,4,true,5,1.7635421746374427,1,33.0148,0.679791
010203,i_maj2,大二度,0102,interval,4,true,5,1.7635421746374427,1,33.0148,0.679791
010204,i_min3,小三度,0102,interval,3,true,4,2.155418151159372,1,29.204,0.727939
010205,i_maj3,大三度,0102,interval,3,true,4,2.155418151159372,1,29.204,0.727939
010206,i_per4,纯四度,0102,interval,2,true,3,2.7193733099747197,1,24.9139,0.779736
010207,i_dim5,减五度,0102,interval,7,true,8,1.0757191478145756,1,44.1653,0.533282
010208,i_per5,纯五度,0102,interval,2,true,3,2.7193733099747197,1,24.9139,0.779736
010209,i_min6,小六度,0102,interval,5,true,6,1.4747698473569486,1,37.1694,0.625534
010210,i_maj6,大六度,0102,interval,5,true,6,1.4747698473569486,1,37.1694,0.625534
010211,i_min7,小七度,0102,interval,6,true,7,1.2525581326195212,1,40.7094,0.580945
010212,i_maj7,大七度,0102,interval,6,true,7,1.2525581326195212,1,40.7094,0.580945
010213,i_octave,八度,0102,interval,1,true,2,3.60316245279251,1,20.5459,0.830557
010214,i_min9,小九度,0102,interval,7,true,8,1.0757191478145756,1,44.1653,0.533282
010215,i_maj9,大九度,0102,interval,7,true,8,1.0757191478145756,1,44.1653,0.533282
010216,i_min10,小十度,0102,interval,7,true,8,1.0757191478145756,1,44.1653,0.533282
010217,i_maj10,大十度,0102,interval,7,true,8,1.0757191478145756,1,44.1653,0.533282
010218,i_per11,纯十一度,0102,interval,8,true,9,0.9310981923824493,1,47.8881,0.482968
010219,i_dim12,减十二度,0102,interval,8,true,9,0.9310981923824493,1,47.8881,0.482968
010220,i_per12,纯十二度,0102,interval,8,true,9,0.9310981923824493,1,47.8881,0.482968
010221,i_min13,小十三度,0102,interval,9,true,10,0.8100673526887585,1,51.5117,0.430622
010222,i_maj13,大十三度,0102,interval,9,true,10,0.8100673526887585,1,51.5117,0.430622
010223,i_min14,小十四度,0102,interval,9,true,10,0.8100673526887585,1,51.5117,0.430622
010224,i_maj14,大十四度,0102,interval,9,true,10,0.8100673526887585,1,51.5117,0.430622
010225,i_doubleOctave,十五度（双八度）,0102,interval,10,true,11,0.7066950526114236,1,54.518,0.377069
