id,version, name, note, pid, pname, R,r,a,h,t,A
01,,eSkill,耳朵的基础感知精度,,,13.0,,,,,
0101,,single,单音,01,eSkill,,,,,,
0102,,interval,音程,01,eSkill,,,,,,
0103,,chord,和弦,01,eSkill,,,,,,
0104,,tone,调性,01,eSkill,,,,,,
0105,,section,乐句,01,eSkill,,,,,,
0106,,,和声进行,01,eSkill,,,,,,
0201,,unison,一度,0102,interval,4.0,,,,,
0202,,min2,小二度,0102,interval,7.0,,,,,
0203,,maj2,大二度,0102,interval,4.0,,,,,
0204,,min3,小三度,0102,interval,5.0,,,,,
0205,,maj3,大三度,0102,interval,3.0,,,,,
0206,,per4,纯四度,0102,interval,4.0,:,,,,
0207,,dim5,减五度,0102,interval,1.0,,,,,
0208,,per5,纯五度,0102,interval,3.0,,,,,
0209,,min6,小六度,0102,interval,6.0,,,,,
0210,,maj6,大六度,0102,interval,5.0,,,,,
0211,,min7,小七度,0102,interval,7.0,,,,,
0212,,maj7,大七度,0102,interval,8.0,,,,,
0213,,octave,八度,0102,interval,3.0,,,,,
