midlevel.dynamic_complexity,动态结构,vector<Real>(1),整体动态起伏复杂度,DynamicComplexity算法,约0-10;越高表示强弱对比越明显,强弱复杂度核心变量
midlevel.loudness_db_estimate,动态结构,vector<Real>(1),整体平均响度(dB),DynamicComplexity算法,常见-30~-10;越接近0越响,动态强度参考量

midlevel.rhythm.bpm,节奏结构,vector<Real>(1),全局主速度,BPM估计,40-200常见,节奏基准
midlevel.rhythm.confidence,节奏结构,vector<Real>(1),节奏稳定置信度,RhythmDescriptors算法,0-1;越高越稳定,节奏复杂度反向指标
midlevel.rhythm.danceability,节奏结构,vector<Real>(1),周期结构显著度(DFA),Danceability算法,通常0-2;越大周期性越强,节奏规律性指标

midlevel.rhythm.bpm_histogram_first_peak_bpm,节奏结构,vector<Real>(1),节奏直方图主峰速度,RhythmDescriptors,主速度候选值,节奏集中度分析
midlevel.rhythm.bpm_histogram_first_peak_weight,节奏结构,vector<Real>(1),主峰权重,RhythmDescriptors,0-1;越大越集中,节奏简单度指标
midlevel.rhythm.bpm_histogram_first_peak_spread,节奏结构,vector<Real>(1),主峰宽度,RhythmDescriptors,越小越集中,节奏清晰度

midlevel.rhythm.bpm_histogram_second_peak_bpm,节奏结构,vector<Real>(1),第二速度峰值,RhythmDescriptors,副节奏结构,多峰节奏分析
midlevel.rhythm.bpm_histogram_second_peak_weight,节奏结构,vector<Real>(1),第二峰权重,RhythmDescriptors,通常较小,节奏多样性指标
midlevel.rhythm.bpm_histogram_second_peak_spread,节奏结构,vector<Real>(1),第二峰宽度,RhythmDescriptors,越大越分散,节奏模糊度

midlevel.rhythm.beats_position,节奏结构,vector<vector<Real>>,每个拍子时间位置(秒),RhythmDescriptors,长度≈拍数,拍间不规则性计算
midlevel.rhythm.bpm_estimates,节奏结构,vector<vector<Real>>,局部速度估计序列,RhythmDescriptors,长度≈分析窗口数,tempo波动分析
midlevel.rhythm.bpm_histogram,节奏结构,vector<vector<Real>>,节奏周期分布直方图,RhythmDescriptors,250 bins,节奏熵计算
midlevel.rhythm.bpm_intervals,节奏结构,vector<vector<Real>>,拍间间隔序列,RhythmDescriptors,可能为空,节奏稳定性分析
midlevel.rhythm.dfa,节奏结构,vector<vector<Real>>,DFA分形序列,Danceability算法,长度≈几十,长程依赖分析

midlevel.tonal.chords_changes_rate,和声结构,vector<Real>(1),和弦变化频率(每秒),TonalExtractor,0-0.3常见,和声复杂度核心变量
midlevel.tonal.chords_number_rate,和声结构,vector<Real>(1),和弦种类比例,TonalExtractor,0-0.01常见,和声词汇复杂度
midlevel.tonal.chords_histogram,和声结构,vector<vector<Real>>,24种大小三和弦占比,TonalExtractor,长度=24,和声熵计算
midlevel.tonal.chords_strength,和声结构,vector<vector<Real>>,逐帧和弦置信度,TonalExtractor,0-1,和声清晰度分析
midlevel.tonal.chords_key,和声结构,vector<string>,和弦推断调性,TonalExtractor,如"D",调性一致性判断
midlevel.tonal.chords_scale,和声结构,vector<string>,和弦推断调式,TonalExtractor,major/minor,调式稳定度

midlevel.tonal.key,调性结构,vector<string>,全局调性估计,TonalExtractor,如"Bb",主调判断
midlevel.tonal.scale,调性结构,vector<string>,全局调式,TonalExtractor,major/minor,调式判断
midlevel.tonal.key_strength,调性结构,vector<Real>(1),调性稳定度,TonalExtractor,0-1;越高越稳定,调性复杂度反向指标

midlevel.tonal.chords_progression,和声结构,vector<string>,和弦序列,TonalExtractor,长度≈和弦段数,和声路径分析
