key,value,comment_zh
midlevel.dynamic_complexity,4.38365412,动态复杂度（响度随时间波动的复杂程度）
midlevel.loudness_db_estimate,-24.81558800,响度估计（dB，算法内部估计值）
midlevel.rhythm.beats_position,0.81269842;1.63700676;2.44970512;3.22757363;4.05188179;4.84136057;5.63083887;6.37387753;7.12852573;7.89478445;8.66104317;9.42730141;10.19355965;10.92498875;11.65641689;12.38784599;13.11927414;13.79265308;14.43120193;15.05814075;15.67346954;16.28879738;16.85768700;17.42657471;17.91419411;18.39020348;18.88943291;19.45832253;20.03882027;20.59609985;21.16498756;21.74548721;22.32598686;22.91809464;23.48698425;24.05587196;24.62476158;25.21686935;25.65804863;26.09922791;26.52879715;26.96997643;27.41115570;27.87555504;28.39800453;28.92045212;29.41968155;29.90730095;30.39492035;30.88253975;31.47464752;32.05514526;32.64725494;33.26258469;33.86630249;34.47002029;35.05052185;35.65423965;36.30439758;36.96616745;37.65115738;38.33614349;39.03274155;39.68290329;40.28662109;40.91355896;41.54049683;42.29514694;43.03818512;43.89732361;44.74485016;45.59238052;46.40507889;47.25260544;48.05369568;48.84317398;49.60943222;50.36408234;51.09550858;51.87337875;52.55836487;53.24335480;53.83546448;54.45079422;55.05451202;55.66984177;56.29677963;56.88888931;57.43455505;58.01505661;58.58394623;59.12961197;59.65206146;60.16290283;60.65052032;61.18457794;61.71863937;62.22947693;62.77514648;63.27437592;63.80843353;64.34249115;64.85333252;65.42221832;66.01432800;66.59482574;67.30303955;68.01124573;68.75428772;69.52054596;70.29840851;71.07627869;71.74965668;72.39981842;73.04997253;73.71174622;74.38512421;75.05850220;75.72026825;76.39364624;77.07863617;77.74040985;78.42539215;79.07555389;79.72571564;80.39909363;81.07247162;81.74584961;82.39601135;83.06938934;83.74276733;84.39292145;85.05469513;85.72807312;86.37822723;87.04000092;87.71337891;88.38675690;89.06013489;89.73351288;90.38367462;91.03382874;91.69560242;92.35736847;93.00753021;93.66929626;94.33106232;94.99283600;95.64299011;96.30476379;96.97814178;97.65151978;98.32489777;98.99827576;99.64842987;100.31020355;100.97196960;101.63374329;102.30712128;102.95727539;103.61904907;104.28081512;104.93097687;105.59274292;106.25450897;106.90467072;107.56643677;108.20498657;108.86675262;109.52852631;110.17868042;110.82884216;111.49060822;112.15238190;112.81414795;113.47591400;114.13768768;114.79945374;115.47283173;116.13459778;116.79637146;117.44652557;118.10829926;118.77006531;119.43183136;120.09360504;120.75537109;121.41713715;122.07891083;122.74067688;123.40244293;124.06421661;124.71437073;125.36453247;126.01469421;126.66484833;127.32662201;127.98838806;128.63854980;129.28871155;129.93885803;130.60063171;131.25079346;131.90095520;132.53950500;133.18965149;133.83981323;134.47836304;135.12852478;135.79029846;136.45205688;137.09060669;137.74076843;138.40254211;139.05268860;139.71446228;140.36462402;141.01478577;141.65333557;142.30348206;142.95364380;143.60380554;144.25396729;144.91574097;145.57749939;146.22766113;146.88943481;147.53959656;148.17813110;148.82829285;149.47845459;150.14022827;150.81359863;151.46376038;152.12553406;152.78729248;153.44906616;154.11083984;154.77259827;155.42276001;156.08453369;156.74630737;157.39645386;158.05822754;158.72000122;159.37016296;160.04353333;160.70530701;161.35546875;162.01722717;162.66738892;163.32916260;163.97932434;164.64108276;165.29124451;165.95301819;166.60316467;167.25332642;167.91510010;168.57687378;169.22702026;169.87718201;170.53895569;171.18911743;171.83926392;172.48942566;173.13958740;173.78974915;174.42829895;175.09005737;175.72860718;176.39038086;177.02893066;177.69070435;178.34085083;178.99101257;179.64117432;180.29133606;180.92988586;181.58004761;182.23019409;182.88035583;183.53051758;184.19229126;184.84245300;185.49259949;186.14276123;186.80453491;187.46629333;188.11645508;188.77822876;189.44000244;190.09014893;190.75192261;191.40208435;192.05224609;192.70239258;193.34094238;193.99110413;194.64126587;195.29142761;195.92997742;196.56852722;197.21867371;197.85722351;198.49577332;199.14593506;199.79609680;200.43464661;201.07319641;201.72335815;202.37350464;203.03527832;203.68544006;204.33560181;204.98574829;205.63591003;206.28607178;206.93623352;207.58639526;208.22494507;208.87509155;209.52525330;210.17541504;210.82557678;211.48735046;212.13749695;212.78765869;213.42620850;214.07637024;214.72653198;215.37667847;216.02684021;216.67700195;217.30393982;217.94248962;218.60426331;219.25442505;219.89295959;220.54312134;221.19328308;221.84344482;222.48199463;223.12054443;223.77070618;224.42085266;225.07101440;225.72117615;226.38294983;227.03309631;227.69487000;228.34503174;228.98358154;229.62213135;230.28388977;230.95727539;231.60743713;232.25759888;232.89613342;233.53468323;234.17323303;234.81178284;235.46194458;236.08888245;236.71582031;237.36598206;238.00453186;238.65469360;239.30485535;239.95500183;240.60516357;241.26693726;241.91709900;242.55564880;243.19418335;243.84434509;244.49450684;245.14466858;245.78321838;246.43338013;247.08352661;247.73368835;248.38385010;249.04562378;249.69577026;250.35754395;250.99609375;251.64625549;252.30802917;252.95817566;253.61994934;254.27011108;254.94348145;255.58203125;256.24380493;256.90557861;257.56735229;258.21749878;258.86764526;259.51782227;260.16796875;260.81814575;261.49151611;262.11843872;262.75698853;263.41876221;264.08053589;264.74230957;265.39245605;266.05422974;266.70440674;267.35455322;268.00469971;268.65487671;269.30502319;269.95520020;270.60534668;271.26712036;271.94049072;272.57904053;273.22918701;273.86773682;274.51791382;275.16806030;275.80661011;276.45678711;277.11853027;277.75708008;278.39562988;279.04580688;279.69595337;280.34613037;280.99627686;281.63482666;282.27337646;282.92352295;283.58529663;284.23547363;284.89721680;285.53576660;286.17431641;286.81286621;287.45141602;288.11318970;288.77496338;289.42510986;290.07528687;290.72543335;291.36398315;292.00253296;292.64108276;293.27963257;293.92977905;294.57995605;295.21850586;295.88027954;296.50720215;297.14575195;297.79589844;298.44607544;299.10784912;299.75799561;300.40817261;301.04669189;301.67364502;302.31219482;302.96234131;303.61251831;304.26266479;304.91284180;305.56298828;306.22476196;306.88653564;307.53668213;308.17523193;308.82537842;309.47555542;310.12570190;310.77587891;311.41442871;312.07617188;312.71472168;313.36489868;314.02667236;314.66522217;315.30377197;315.96551514;316.61569214;317.25424194;317.88116455;318.53134155;319.16989136;319.83163452;320.48181152;321.12036133;321.75891113;322.38583374;323.02438354;323.66293335;324.31311035;324.96325684;325.61340332;326.26358032;326.91372681;327.55227661;328.19082642;328.84100342;329.49114990;330.14129639;330.79147339;331.43002319;332.08016968;332.74194336;333.39208984;334.03063965;334.65759277;335.30773926;335.94628906;336.58483887;337.24661255;337.89675903;338.54693604;339.17385864;339.82403564;340.47418213;341.11273193;341.75128174;342.38983154;343.04000854;343.69015503;344.34030151;344.97885132;345.62902832;346.27917480;346.94094849;347.59109497;348.24127197;348.87982178;349.51837158;350.16851807;350.81866455;351.46884155;352.10739136;352.74594116;353.38449097;354.03463745;354.66159058;355.31173706;355.97351074;356.62365723;357.27383423;357.92398071;358.57415771;359.23590088;359.87445068;360.52462769;361.18640137;361.83654785;362.49832153;363.12524414;363.77542114;364.41397095;365.06411743;365.70266724;366.35281372;367.00299072;367.65313721;368.29168701;368.93023682;369.59201050;370.25378418;370.88070679;371.51925659;372.16943359;372.80798340;373.44653320;374.08508301;374.72363281;375.38537598;376.03555298;376.68569946;377.33587646;377.99761963;378.64779663;379.28634644;379.93649292;380.59826660;381.26004028;381.89859009;382.54873657;383.21051025;383.86068726;384.51083374;385.16098022;385.82275391;386.47293091;387.13467407;387.77322388;388.44662476;389.10836792;389.80499268;390.42031860;391.03564453;391.65097046;392.27789307;392.76553345;393.24154663;393.72915649;394.19354248;394.66955566;395.11074829;395.57513428;396.03955078;396.50393677;396.99154663;397.47918701;397.97839355;398.47763062;398.94204712;399.38320923;399.83599854;400.27719116;400.70675659;401.15954590;401.68197632;402.20443726;402.70367432;403.23773193;403.74856567;404.23617554;404.73541260;405.24624634;405.78030396;406.30276489;406.83682251;407.39410400;407.96298218,节拍位置序列（秒）
midlevel.rhythm.bpm,92.08531189,节拍速度（BPM）
midlevel.rhythm.bpm_estimates,89.10287476;93.96305084;95.70311737;92.28527069;90.66596222;87.59252930;87.59301758;92.28472900;95.70326233;95.70326233;87.59301758;87.59252930;95.70326233;89.10300446;92.28472900;92.28581238;90.66543579;89.10300446;89.10300446;90.66648102;89.10300446;87.59252930;90.66543579;87.59350586;92.28472900;92.28472900;89.10300446;89.10300446;89.10300446;92.28472900;89.10300446;89.10300446;92.28581238;90.66543579;89.10300446;92.28581238;90.66543579;89.10300446;89.10300446;89.10300446;89.10300446;92.28472900;92.28581238;90.66543579;90.66648102;92.28472900;90.66648102;90.66648102;90.66543579;92.28581238;90.66543579;89.10300446;89.10300446;89.10300446;89.10300446;92.28581238;90.66543579;90.66648102;90.66543579;89.10300446;92.28581238;90.66543579;90.66648102;92.28472900;90.66648102;90.66648102;92.28472900;90.66648102;93.96291351;90.66648102;90.66543579;92.28581238;92.28472900;90.66648102;90.66543579;90.66648102;90.66648102;90.66543579;90.66648102;89.10300446;90.66648102;90.66543579;92.28581238;90.66543579;90.66648102;90.66648102;90.66543579;90.66648102;90.66648102;90.66543579;90.66648102;90.66648102;90.66543579;92.28581238;92.28472900;92.28472900;92.28581238;90.66543579;90.66648102;92.28472900;92.28472900;92.28689575;90.66543579;92.28472900;92.28472900;93.96291351;92.28689575;92.28472900;93.96291351;92.28472900;90.66543579;90.66752625;93.96291351;92.28472900;90.66543579;92.28689575;90.66543579;92.28472900;92.28472900;93.96291351;92.28689575;92.28472900;92.28472900;92.28472900;90.66543579;90.66752625;92.28472900;90.66543579;92.28472900;93.96515656;92.28472900;92.28472900;90.66543579;89.10401154;92.28472900;90.66543579;90.66752625;90.66543579;90.66543579;90.66752625;92.28472900;90.66543579;90.66543579;92.28689575;90.66543579;90.66543579;92.28472900;89.10401154;90.66543579;92.28472900;90.66752625;92.28472900;90.66543579;92.28472900;90.66752625;92.28472900;90.66543579;92.28689575;92.28472900;90.66543579;90.66543579;92.28689575;92.28472900;90.66543579;92.28472900;92.28689575;92.28472900;92.28472900;92.28472900;93.96291351;90.66752625;93.96291351;90.66543579;93.96291351;90.66543579;92.28689575;92.28472900;92.28472900;92.28472900;93.96291351;92.28472900;92.28689575;92.28472900;92.28472900;90.66543579;92.28472900;92.28689575;92.28472900;90.66543579;90.66752625;92.28472900;90.66543579;90.66543579;92.28689575;90.66543579;92.28472900;92.28472900;92.28689575;93.96291351;92.28472900;92.28472900;92.28472900;93.96291351;93.96291351;92.28689575;93.96291351;93.96291351;92.28472900;92.28472900;93.96291351;93.96291351;92.28472900;92.28689575;90.66543579;92.28472900;92.28472900;92.28689575;92.28472900;92.28472900;92.28472900;92.28472900;93.96291351;92.28689575;92.28472900;92.28472900;92.28472900;90.66543579;92.28689575;92.28472900;93.96291351;92.28472900;92.28472900;92.28689575;92.28472900;92.28472900;95.70326233;93.96291351;90.66543579;92.28472900;93.96515656;92.28472900;92.28472900;92.28472900;93.96291351;93.96291351;92.28472900;92.28689575;92.28472900;92.28472900;90.66543579;92.28689575;90.66543579;92.28472900;93.96291351;93.96291351;90.66752625;89.10198975;92.28472900;92.28472900;93.96515656;93.96291351;93.96291351;93.96291351;92.28472900;95.70326233;95.70326233;92.28472900;93.96291351;92.28472900;92.28472900;92.28689575;92.28472900;90.66543579;92.28472900;93.96291351;93.96515656;92.28472900;92.28472900;92.28472900;93.96291351;92.28472900;92.28689575;92.28472900;92.28472900;90.66543579;92.28689575;90.66543579;93.96291351;92.28472900;90.66543579;92.28689575;90.66543579;92.28472900;89.10401154;93.96291351;90.66543579;90.66543579;90.66543579;92.28689575;92.28689575;92.28256226;92.28689575;92.28256226;89.10401154;95.70559692;93.96291351;90.66543579;90.66543579;90.66543579;92.28689575;90.66543579;92.28256226;92.28689575;92.28689575;92.28256226;92.28689575;92.28256226;92.28689575;90.66543579;89.10401154;93.96291351;92.28689575;93.96291351;92.28256226;92.28689575;93.96291351;92.28256226;90.66961670;93.96291351;93.96291351;92.28256226;92.28689575;92.28256226;92.28689575;93.96291351;93.96291351;92.28689575;90.66543579;92.28256226;90.66961670;93.96291351;93.96291351;93.96291351;93.96291351;90.66543579;90.66543579;92.28689575;92.28256226;92.28689575;93.96291351;93.96291351;93.96291351;93.96291351;92.28689575;92.28256226;93.96291351;90.66543579;95.70559692;93.96291351;92.28689575;92.28256226;90.66543579;92.28689575;92.28256226;93.96740723;95.70093536;93.96291351;92.28689575;92.28256226;92.28689575;92.28256226;92.28689575;90.66543579;90.66543579;92.28689575;93.96291351;92.28689575;92.28256226;92.28689575;92.28256226;93.96291351;90.66961670;93.96291351;92.28256226;90.66543579;93.96291351;93.96291351;90.66961670;92.28256226;93.96291351;95.70559692;92.28256226;93.96291351;90.66961670;92.28256226;93.96291351;93.96291351;95.70559692;93.96291351;93.96291351;92.28256226;92.28689575;92.28689575;92.28256226;92.28689575;93.96291351;93.96291351;92.28256226;92.28689575;92.28689575;92.28256226;93.96291351;92.28689575;90.66543579;92.28689575;93.96291351;95.70093536;92.28689575;93.96291351;93.96291351;90.66543579;92.28689575;92.28256226;95.70559692;92.28256226;92.28689575;93.96291351;93.96291351;93.96291351;92.28256226;92.28689575;92.28689575;93.96291351;92.28256226;92.28689575;90.66543579;92.28689575;92.28256226;93.96291351;93.96291351;92.28689575;92.28689575;92.28256226;93.96291351;93.96291351;93.96291351;92.28689575;95.70093536;92.28689575;90.66543579;92.28689575;92.28256226;92.28689575;92.28256226;90.66961670;93.96291351;92.28256226;90.66543579;92.28689575;90.66543579;95.70559692;92.28256226;93.96291351;92.28689575;93.96291351;92.28689575;92.28256226;92.28689575;93.96291351;93.96291351;90.66543579;90.66543579;95.70559692;93.96291351;92.28256226;93.96291351;93.96291351;93.96291351;93.96291351;90.66961670;92.28256226;92.28689575;92.28256226;90.66961670;92.28256226;93.96291351;92.28689575;90.66543579;90.66543579;93.96291351;92.28689575;90.66543579;92.28256226;92.28689575;92.28689575;90.66543579;92.28256226;90.66961670;93.96291351;89.09997559;90.66961670;95.70559692,BPM 候选估计序列
midlevel.rhythm.bpm_histogram,0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00157233;0.00471698;0.00000000;0.00314465;0.00314465;0.00157233;0.00471698;0.00628931;0.00943396;0.00000000;0.00471698;0.00471698;0.00786164;0.00000000;0.00000000;0.00314465;0.00314465;0.00000000;0.00943396;0.04402516;0.00000000;0.19811320;0.36006290;0.00000000;0.14937107;0.00000000;0.02830189;0.00000000;0.01257862;0.00786164;0.00000000;0.01100629;0.00000000;0.01100629;0.00000000;0.01572327;0.00000000;0.00000000;0.00314465;0.00000000;0.00471698;0.00000000;0.01100629;0.00000000;0.00000000;0.00943396;0.00000000;0.00786164;0.00000000;0.00000000;0.01100629;0.00000000;0.00000000;0.01572327;0.00000000;0.00000000;0.00471698;0.00000000;0.00000000;0.00943396;0.00000000;0.00000000;0.00000000;0.00314465;0.00000000;0.00000000;0.01100629;0.00000000;0.00000000;0.00000000;0.00314465;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000,BPM 直方图
midlevel.rhythm.bpm_histogram_first_peak_bpm,92.00000000,BPM 直方图第一峰值位置（BPM）
midlevel.rhythm.bpm_histogram_first_peak_spread,0.29282868,BPM 直方图第一峰值扩散度
midlevel.rhythm.bpm_histogram_first_peak_weight,0.55817610,BPM 直方图第一峰值权重
midlevel.rhythm.bpm_histogram_second_peak_bpm,105.00000000,BPM 直方图第二峰值位置（BPM）
