key,value,comment_zh
midlevel.dynamic_complexity,21.41739845,动态复杂度（响度随时间波动的复杂程度）
midlevel.loudness_db_estimate,-26.70623016,响度估计（dB，算法内部估计值）
midlevel.rhythm.beats_position,0.27863944;0.56888890;0.85913831;1.14938772;1.43963718;1.72988653;2.02013612;2.32199550;2.62385488,节拍位置序列（秒）
midlevel.rhythm.bpm,206.71873474,节拍速度（BPM）
midlevel.rhythm.bpm_estimates,206.71871948;206.71876526;206.71876526;206.71871948;206.71881104;206.71864319,BPM 候选估计序列
midlevel.rhythm.bpm_histogram,0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.25000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.75000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000,BPM 直方图
midlevel.rhythm.bpm_histogram_first_peak_bpm,207.00000000,BPM 直方图第一峰值位置（BPM）
midlevel.rhythm.bpm_histogram_first_peak_spread,0.00000000,BPM 直方图第一峰值扩散度
midlevel.rhythm.bpm_histogram_first_peak_weight,0.75000000,BPM 直方图第一峰值权重
midlevel.rhythm.bpm_histogram_second_peak_bpm,199.00000000,BPM 直方图第二峰值位置（BPM）
midlevel.rhythm.bpm_histogram_second_peak_spread,0.00000000,BPM 直方图第二峰值扩散度
midlevel.rhythm.bpm_histogram_second_peak_weight,0.25000000,BPM 直方图第二峰值权重
midlevel.rhythm.bpm_intervals,,BPM 间隔序列
midlevel.rhythm.confidence,0.00000000,BPM 置信度
midlevel.rhythm.danceability,0.69536448,舞动性（Danceability，基于 DFA 的节奏稳定性度量）
midlevel.rhythm.dfa,1.50539446;1.42046165;1.34469509;1.28582716;1.24905598;1.22619522;1.21337295;1.20976591;1.21158755;1.21593463;1.22102654;1.22638488;1.40152311;1.23084044;1.24162626;1.25873864;1.43408144;1.33166158;1.40568912;1.66064131;1.73840761;2.22920799;2.81405854;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000,DFA 序列（用于舞动性计算的分形/标度特征）
midlevel.tonal.chords_changes_rate,0.06060606,和弦变化率（单位时间内和弦变化的频繁程度）
midlevel.tonal.chords_histogram,3.03030300;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;96.96969604;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000,和弦直方图（和弦类别分布）
midlevel.tonal.chords_key,F,和弦主调（chords_key）
midlevel.tonal.chords_number_rate,0.03030303,和弦数量率（不同和弦出现的相对速率）
midlevel.tonal.chords_progression,,和弦进行序列（按时间顺序）
midlevel.tonal.chords_scale,minor,和弦音阶类型（大/小等，chords_scale）
midlevel.tonal.chords_strength,0.37846315;0.37846842;0.37847340;0.37847847;0.37848303;0.37848735;0.37849125;0.37849507;0.37849885;0.37850258;0.37850609;0.37850904;0.37851194;0.37851509;0.37851807;0.37852076;0.37852344;0.37852564;0.37852788;0.37853000;0.37853247;0.37853470;0.37854323;0.37855294;0.37856072;0.37856731;0.37857339;0.37857878;0.37858298;0.37858653;0.37858981;0.37859288;0.37859553;0.37859914;0.37860107;0.37860331;0.37860498;0.37860709;0.37860969;0.37861165;0.37861320;0.37860683;0.37860075;0.37859473;0.37859246;0.37859240;0.37859240;0.37859234;0.37859231;0.37859216;0.37859187;0.37859175;0.37859118;0.37859076;0.37859038;0.37858969;0.37858871;0.37858781;0.37858626;0.37858555;0.37858456;0.37858361;0.37858152;0.37857947;0.37857762;0.37857604,和弦置信强度序列（每个时间帧）
midlevel.tonal.key,F,调性主音（key_key）
midlevel.tonal.key_strength,0.63083017,调性强度（key_strength）
midlevel.tonal.scale,major,调式（大调/小调，key_scale）
