key,value,comment_zh
lowlevel.average_loudness,0.70206255,（低层·average·响度）
lowlevel.barkbands.dmean,0.00000001;0.00000001;0.00000015;0.00000103;0.00044749;0.00001323;0.00003283;0.00033339;0.00001701;0.00022350;0.00010445;0.00002008;0.00006242;0.00003402;0.00001779;0.00000808;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000,（低层·barkbands·dmean）
lowlevel.barkbands.dmean2,0.00000001;0.00000002;0.00000009;0.00000066;0.00022309;0.00001006;0.00003152;0.00016824;0.00001849;0.00012059;0.00005878;0.00001629;0.00003676;0.00002044;0.00001093;0.00000509;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000,（低层·barkbands·dmean2）
lowlevel.barkbands.dvar,0.00000000;0.00000000;0.00000000;0.00000000;0.00000731;0.00000002;0.00000004;0.00000397;0.00000002;0.00000190;0.00000042;0.00000001;0.00000016;0.00000005;0.00000001;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000,（低层·barkbands·dvar）
lowlevel.barkbands.dvar2,0.00000000;0.00000000;0.00000000;0.00000000;0.00000620;0.00000001;0.00000010;0.00000315;0.00000003;0.00000159;0.00000036;0.00000003;0.00000016;0.00000005;0.00000001;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000,（低层·barkbands·dvar2）
lowlevel.barkbands.max,0.00000175;0.00000240;0.00003220;0.00022136;0.05604195;0.00285438;0.00541728;0.04137960;0.00313526;0.02793596;0.01311251;0.00310366;0.00804115;0.00443354;0.00233279;0.00105888;0.00000049;0.00000008;0.00000003;0.00000002;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001,（低层·barkbands·最大值）
lowlevel.barkbands.mean,0.00000001;0.00000002;0.00000021;0.00000139;0.00343254;0.00004228;0.00017005;0.00210609;0.00007785;0.00118981;0.00048974;0.00008421;0.00026074;0.00012949;0.00006223;0.00002607;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000,（低层·barkbands·均值）
lowlevel.barkbands.median,0.00000000;0.00000000;0.00000000;0.00000000;0.00017923;0.00000116;0.00000160;0.00002369;0.00000007;0.00000137;0.00000006;0.00000001;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000,（低层·barkbands·median）
lowlevel.barkbands.min,0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000,（低层·barkbands·最小值）
lowlevel.barkbands.stdev,0.00000013;0.00000023;0.00000235;0.00001592;0.00928560;0.00023676;0.00059576;0.00652566;0.00032965;0.00417839;0.00187375;0.00034413;0.00107199;0.00056312;0.00028416;0.00012433;0.00000003;0.00000001;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000,（低层·barkbands·标准差）
