key,value,comment_zh
lowlevel.average_loudness,0.18935220,（低层·average·响度）
lowlevel.barkbands.dmean,0.00000003;0.00000005;0.00000010;0.00000015;0.00021381;0.00039224;0.00006572;0.00006212;0.00007347;0.00018382;0.00003860;0.00002978;0.00003898;0.00002843;0.00001712;0.00000144;0.00000450;0.00000063;0.00000013;0.00000002;0.00000001;0.00000007;0.00000001;0.00000001;0.00000001;0.00000000;0.00000000,（低层·barkbands·dmean）
lowlevel.barkbands.dmean2,0.00000003;0.00000005;0.00000012;0.00000021;0.00010926;0.00040049;0.00002921;0.00002417;0.00003201;0.00007778;0.00002730;0.00001275;0.00003935;0.00001836;0.00002723;0.00000172;0.00000351;0.00000064;0.00000012;0.00000003;0.00000001;0.00000006;0.00000001;0.00000001;0.00000001;0.00000000;0.00000000,（低层·barkbands·dmean2）
lowlevel.barkbands.dvar,0.00000000;0.00000000;0.00000000;0.00000000;0.00000216;0.00000834;0.00000017;0.00000014;0.00000022;0.00000139;0.00000006;0.00000003;0.00000004;0.00000005;0.00000001;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000,（低层·barkbands·dvar）
lowlevel.barkbands.dvar2,0.00000000;0.00000000;0.00000000;0.00000000;0.00000124;0.00000733;0.00000010;0.00000005;0.00000013;0.00000064;0.00000003;0.00000001;0.00000005;0.00000004;0.00000002;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000,（低层·barkbands·dvar2）
lowlevel.barkbands.max,0.00000370;0.00000781;0.00001862;0.00003131;0.03400816;0.05726203;0.01135406;0.01014982;0.01277559;0.02991069;0.00611407;0.00502387;0.00285351;0.00464665;0.00151512;0.00020539;0.00072584;0.00009765;0.00001969;0.00000329;0.00000222;0.00001010;0.00000189;0.00000104;0.00000090;0.00000035;0.00000012,（低层·barkbands·最大值）
lowlevel.barkbands.mean,0.00000003;0.00000005;0.00000012;0.00000020;0.00174386;0.00297946;0.00057252;0.00042349;0.00052067;0.00111430;0.00020285;0.00016874;0.00006949;0.00009360;0.00002841;0.00000388;0.00001147;0.00000051;0.00000015;0.00000003;0.00000002;0.00000006;0.00000001;0.00000001;0.00000001;0.00000000;0.00000000,（低层·barkbands·均值）
lowlevel.barkbands.median,0.00000000;0.00000000;0.00000000;0.00000000;0.00001574;0.00002617;0.00000480;0.00000016;0.00000018;0.00000019;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000,（低层·barkbands·median）
lowlevel.barkbands.min,0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000,（低层·barkbands·最小值）
lowlevel.barkbands.stdev,0.00000026;0.00000053;0.00000123;0.00000214;0.00536704;0.00921361;0.00177010;0.00151681;0.00187695;0.00419612;0.00082258;0.00067684;0.00032823;0.00049263;0.00014238;0.00002052;0.00006608;0.00000632;0.00000149;0.00000025;0.00000015;0.00000067;0.00000013;0.00000008;0.00000006;0.00000003;0.00000001,（低层·barkbands·标准差）
