key,value,comment_zh
lowlevel.average_loudness,0.72132319,（低层·average·响度）
lowlevel.barkbands.dmean,0.00000000;0.00000001;0.00000002;0.00000007;0.00054539;0.00001485;0.00002090;0.00017483;0.00000691;0.00007613;0.00002683;0.00000409;0.00001456;0.00000614;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000,（低层·barkbands·dmean）
lowlevel.barkbands.dmean2,0.00000001;0.00000001;0.00000004;0.00000010;0.00023153;0.00002110;0.00001758;0.00007592;0.00000676;0.00003546;0.00001309;0.00000324;0.00000804;0.00000360;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000,（低层·barkbands·dmean2）
lowlevel.barkbands.dvar,0.00000000;0.00000000;0.00000000;0.00000000;0.00001098;0.00000002;0.00000002;0.00000112;0.00000000;0.00000022;0.00000003;0.00000000;0.00000001;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000,（低层·barkbands·dvar）
lowlevel.barkbands.dvar2,0.00000000;0.00000000;0.00000000;0.00000000;0.00000609;0.00000006;0.00000005;0.00000060;0.00000001;0.00000013;0.00000002;0.00000000;0.00000001;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000,（低层·barkbands·dvar2）
lowlevel.barkbands.max,0.00000062;0.00000159;0.00000602;0.00001724;0.07606905;0.00270446;0.00324234;0.02428062;0.00110824;0.01060606;0.00374286;0.00063628;0.00206613;0.00087789;0.00000028;0.00000003;0.00000002;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001,（低层·barkbands·最大值）
lowlevel.barkbands.mean,0.00000000;0.00000001;0.00000005;0.00000013;0.00459134;0.00004478;0.00009583;0.00110295;0.00002359;0.00039674;0.00012100;0.00001478;0.00005973;0.00002310;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000,（低层·barkbands·均值）
lowlevel.barkbands.median,0.00000000;0.00000000;0.00000000;0.00000000;0.00013779;0.00000090;0.00000017;0.00000230;0.00000000;0.00000005;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000,（低层·barkbands·median）
lowlevel.barkbands.min,0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000,（低层·barkbands·最小值）
lowlevel.barkbands.stdev,0.00000004;0.00000012;0.00000051;0.00000144;0.01237441;0.00020634;0.00033906;0.00361028;0.00009974;0.00146744;0.00048905;0.00006386;0.00026006;0.00010681;0.00000002;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000,（低层·barkbands·标准差）
lowlevel.barkbands.var,0.00000000;0.00000000;0.00000000;0.00000000;0.00015313;0.00000004;0.00000011;0.00001303;0.00000001;0.00000215;0.00000024;0.00000000;0.00000007;0.00000001;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000,（低层·barkbands·方差）
lowlevel.barkbands_crest.dmean,0.12771286,（低层·barkbands·crest·dmean）
lowlevel.barkbands_crest.dmean2,0.05522108,（低层·barkbands·crest·dmean2）
lowlevel.barkbands_crest.dvar,0.36991948,（低层·barkbands·crest·dvar）
lowlevel.barkbands_crest.dvar2,0.15396515,（低层·barkbands·crest·dvar2）
lowlevel.barkbands_crest.max,26.76428032,（低层·barkbands·crest·最大值）
lowlevel.barkbands_crest.mean,24.79949188,（低层·barkbands·crest·均值）
lowlevel.barkbands_crest.median,26.23290253,（低层·barkbands·crest·median）
lowlevel.barkbands_crest.min,5.80631828,（低层·barkbands·crest·最小值）
lowlevel.barkbands_crest.stdev,3.20106053,（低层·barkbands·crest·标准差）
lowlevel.barkbands_crest.var,10.24678802,（低层·barkbands·crest·方差）
lowlevel.barkbands_flatness_db.dmean,0.01147019,（低层·barkbands·平坦度·db·dmean）
lowlevel.barkbands_flatness_db.dmean2,0.01233797,（低层·barkbands·平坦度·db·dmean2）
lowlevel.barkbands_flatness_db.dvar,0.00021242,（低层·barkbands·平坦度·db·dvar）
lowlevel.barkbands_flatness_db.dvar2,0.00030518,（低层·barkbands·平坦度·db·dvar2）
lowlevel.barkbands_flatness_db.max,0.77961135,（低层·barkbands·平坦度·db·最大值）
lowlevel.barkbands_flatness_db.mean,0.65630895,（低层·barkbands·平坦度·db·均值）
lowlevel.barkbands_flatness_db.median,0.70147526,（低层·barkbands·平坦度·db·median）
lowlevel.barkbands_flatness_db.min,0.06264137,（低层·barkbands·平坦度·db·最小值）
lowlevel.barkbands_flatness_db.stdev,0.13386410,（低层·barkbands·平坦度·db·标准差）
